,GaussianNB,LinearSVM,RandomForest
EasyEnsemble,0.8027332438154511,0.8452137772283559,0.921254657061256
NearMiss1,0.5065189621609332,0.7787960555295054,0.5071317333788027
NearMiss2,0.6904601645423932,0.7091815507907412,0.7002367961123662
NearMiss3,0.6626627307216846,0.7929763274933572,0.8539043295394803
Plain Method,0.7683010074314051,0.7598987595379172,0.7766133822129389
SMOTE_borderline1,0.7677628344487546,0.9045779160805377,0.833242749761996
SMOTE_borderline2,0.7976029810875712,0.9168006593063074,0.8498827742017988
SMOTE_regular,0.8196757463375819,0.9162487744575643,0.8831841368628955
SMOTE_svm,0.8168942978529917,0.9114523921167427,0.8765814115407022
